,distance,gIhbar_apical
0,15.705985047316968,3.598015827213296e-05
1,44.89789957955201,4.102486712380965e-05
2,50.154643332598965,4.310839678609737e-05
3,66.41404167954057,4.423535520649719e-05
4,71.45525614256618,4.4147074412101084e-05
5,76.415812487517,4.513778798897061e-05
6,83.10600867302497,4.788228688717789e-05
7,88.64301573585672,4.9346083993777447e-05
8,98.40394205416814,5.0811891717649636e-05
9,101.73684223052743,5.2329396463460674e-05
10,108.93550267885615,5.169500001609649e-05
11,118.4894673367277,5.7132209994466926e-05
12,131.69058137809463,6.211642210718633e-05
13,139.2028857792605,6.07714138337823e-05
14,144.24289540837646,6.0203631327069046e-05
15,145.8652783624792,6.0617337910508486e-05
16,156.14570539844948,6.447675767392264e-05
17,156.18881912156485,6.329989629078073e-05
18,160.71097808843095,6.450218964392258e-05
19,160.79391605032563,6.452441528574383e-05
20,162.38866626154433,6.543086495566513e-05
21,162.94069553016422,6.81920433679169e-05
22,164.51557972481066,6.552698909639676e-05
23,168.96307680660436,6.674011858971505e-05
24,172.7353430411261,6.778230024420571e-05
25,174.0927767912637,7.09752001915538e-05
26,178.47914769892992,7.458901143582962e-05
27,182.52415140801097,7.595764692172218e-05
28,187.71739819943878,7.606141556971735e-05
29,187.8567527945042,7.337849053626886e-05
30,189.0534248862908,7.243394148021652e-05
31,190.63846894870662,7.785107469427371e-05
32,191.78847349930342,7.323687069478271e-05
33,206.17081296522878,7.75732491199074e-05
34,211.26127191448035,7.915476072750746e-05
35,213.1866551699082,7.975972522620398e-05
36,215.68835609636008,8.524613633265169e-05
37,231.736716853028,8.630627301518392e-05
38,237.8956862663064,8.941543302123276e-05
39,240.82371146862934,8.885042260410195e-05
40,247.3487057281399,9.283562401153701e-05
41,248.36931519656721,9.356401732433755e-05
42,248.70221849580295,9.158762811714894e-05
43,255.5663333924349,9.402762784146271e-05
44,255.847553072311,9.412898718926823e-05
45,256.3051623837185,9.429343510909756e-05
46,259.4149185692911,9.54187533740569e-05
47,261.1138006287022,9.603811513270764e-05
48,262.34948322714393,9.949130675391448e-05
49,266.53376158291246,0.00010347153701998229
50,267.2043291508507,0.00010319984736786275
51,268.2355248842039,9.867019588468856e-05
52,286.82869242911704,0.00010582187831984394
53,291.1232232610865,0.00011172598519603267
54,291.79498972464955,0.00010780280560434006
55,298.8563388909406,0.00011828750766629319
56,299.04774900845996,0.00011075136346312246
57,300.1360338487058,0.00011119941371710034
58,300.39630870242354,0.00011130670844957457
59,311.9654782142851,0.00011616951401271646
60,312.0366853906687,0.00011620032719269619
61,329.79904483935417,0.00012997870690625545
62,330.1361607089142,0.00012416829356133883
63,331.5043927641537,0.00013159238151841317
64,340.74640431111027,0.00012905140412181653
65,355.8046478497016,0.00013626374788833746
66,360.1361447153252,0.00013840114293968
67,360.13624911979065,0.00013840114293968
68,366.13189409119224,0.00015185145036315177
69,373.50440176545663,0.00015586718337748915
70,373.50447631161876,0.00015586718337748915
71,377.72163771089146,0.00014738096585735817
72,382.7214837197888,0.000150024212228096
73,391.1319082083557,0.000154565061909518
74,406.1318559427695,0.00016296288731474547
75,406.1318635438402,0.00016296288731474547
76,461.1422431719582,0.00019732911720840148
77,626.3084341438522,0.0003501091984252977
78,639.4133511880779,0.00036822669923032445
79,652.8323331086405,0.0003823806403188352
80,659.322421667386,0.0003989784472076173
81,707.3719569552302,0.00044839018535374034
82,741.3723090580557,0.0005006616107493487
83,744.2013698062581,0.0005052642870818579
84,746.6255501404922,0.0005092419284711069
85,764.048624366361,0.0005525880964353767
86,792.9179152210785,0.0005911988354231379
87,810.2789403463073,0.0006250975008080713
88,814.5873905784192,0.0006407509794656995
89,850.5601829591029,0.0007111453267931046
90,851.5619495787205,0.000713425749454196
91,874.9037694412293,0.0007748205859805001
92,881.579319811724,0.0007851311806849943
93,883.3031352484613,0.0007894556471026174
94,884.4270695839334,0.0008101400483996417
95,889.6111058120221,0.0008508802633045744
96,898.0397322644292,0.0008273803711013254
97,902.1147354381026,0.0008381765357358832
98,908.2759377837087,0.0008547604573702335
99,910.2228468675662,0.0008600675172824724
100,914.701206299665,0.0008723957262225116
101,919.4440525126115,0.0009217872202715308
102,923.9879581464243,0.0008985154663874389
103,958.415597708535,0.0010021783623256249
104,962.953268792116,0.0010166830152859645
105,974.8025445393353,0.0010555435495868118
106,990.9050914508383,0.0011106886556049276
107,999.8815660436899,0.0011426488488558884
108,1042.1329838906015,0.0013056021254665053
109,1057.4481074401215,0.0014112391394092117
110,1062.5860793450845,0.0014576448662002321
111,1079.964768655527,0.0014940904394951406
112,1079.964935733806,0.0014940904394951406
113,1085.4075104743802,0.0014962066758013046
114,1085.4076291822007,0.0014962066758013046
115,1092.4957694853015,0.0015299417902759468
116,1103.7158744677956,0.0015848664600625788
117,1119.9794395275412,0.0017102012409556432
118,1131.0313910150194,0.0017435946407772921
119,1134.7811739291567,0.00178512251387325
120,1140.0065182493752,0.0017761820367872385
121,1150.4081511286383,0.001864102868436333
122,1150.4083630622872,0.001864102868436333
